# table for coexisting phases in IAPWS95
nbin_coex    800
temperature_coex_min    2.731600e+02
temperature_coex_max    6.470900e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_liq (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_liq (J / kg)    entropy_vap (J / kg / degK)    entropy_liq (J / kg / degK)
    3.30651738e+02    1.77507857e+04    1.16899588e-01    9.84425981e+02    2.60447596e+06    2.40724255e+05    7.94856144e+03    7.99796012e+02
    3.31119150e+02    1.81451285e+04    1.19336411e-01    9.84192001e+02    2.60529280e+06    2.42680330e+05    7.94094001e+03    8.05706442e+02
    3.31586563e+02    1.85469170e+04    1.21815738e-01    9.83956708e+02    2.60610904e+06    2.44636500e+05    7.93334658e+03    8.11608795e+02
    3.32053975e+02    1.89562647e+04    1.24338150e-01    9.83720107e+02    2.60692468e+06    2.46592765e+05    7.92578098e+03    8.17503099e+02
    3.32521388e+02    1.93732863e+04    1.26904237e-01    9.83482206e+02    2.60773972e+06    2.48549128e+05    7.91824309e+03    8.23389381e+02
    3.32988800e+02    1.97980978e+04    1.29514590e-01    9.83243010e+02    2.60855414e+06    2.50505589e+05    7.91073275e+03    8.29267668e+02
    3.33456213e+02    2.02308162e+04    1.32169809e-01    9.83002524e+02    2.60936794e+06    2.52462151e+05    7.90324981e+03    8.35137987e+02
    3.33923625e+02    2.06715600e+04    1.34870496e-01    9.82760755e+02    2.61018112e+06    2.54418816e+05    7.89579415e+03    8.41000364e+02
    3.34391038e+02    2.11204490e+04    1.37617264e-01    9.82517708e+02    2.61099367e+06    2.56375584e+05    7.88836561e+03    8.46854826e+02
    3.34858450e+02    2.15776041e+04    1.40410726e-01    9.82273390e+02    2.61180559e+06    2.58332457e+05    7.88096405e+03    8.52701399e+02
    3.35325863e+02    2.20431478e+04    1.43251504e-01    9.82027804e+02    2.61261686e+06    2.60289437e+05    7.87358933e+03    8.58540110e+02
    3.35793275e+02    2.25172036e+04    1.46140225e-01    9.81780957e+02    2.61342749e+06    2.62246525e+05    7.86624131e+03    8.64370986e+02
    3.36260688e+02    2.29998963e+04    1.49077519e-01    9.81532855e+02    2.61423746e+06    2.64203724e+05    7.85891985e+03    8.70194052e+02
    3.36728100e+02    2.34913524e+04    1.52064025e-01    9.81283502e+02    2.61504677e+06    2.66161035e+05    7.85162482e+03    8.76009334e+02
    3.37195513e+02    2.39916992e+04    1.55100386e-01    9.81032904e+02    2.61585543e+06    2.68118458e+05    7.84435607e+03    8.81816859e+02
    3.37662925e+02    2.45010657e+04    1.58187253e-01    9.80781067e+02    2.61666341e+06    2.70075997e+05    7.83711346e+03    8.87616652e+02
