# table for coexisting phases in IAPWS06
nbin_coex    300
temperature_coex_min    1.231600e+02
temperature_coex_max    2.731600e+02
# temperature (degK)    pressure (Pa)    mden_vap (kg / m^3)    mden_ice (kg / m^3)    enthalpy_vap (J / kg)    enthalpy_ice (J / kg)    entropy_vap (J / kg / degK)    entropy_ice (J / kg / degK)
    1.80160000e+02    5.55752139e-03    6.68396485e-08    9.28125942e+02    2.32908156e+06    -4.97102286e+05    1.37435415e+04    -1.94353575e+03
    1.80660000e+02    6.10573151e-03    7.32296721e-08    9.28078881e+02    2.33000677e+06    -4.96386106e+05    1.37052523e+04    -1.93956601e+03
    1.81160000e+02    6.70458234e-03    8.01901110e-08    9.28031635e+02    2.33093199e+06    -4.95668208e+05    1.36671854e+04    -1.93559775e+03
    1.81660000e+02    7.35842767e-03    8.77681853e-08    9.27984205e+02    2.33185722e+06    -4.94948592e+05    1.36293390e+04    -1.93163095e+03
    1.82160000e+02    8.07196700e-03    9.60147089e-08    9.27936591e+02    2.33278246e+06    -4.94227255e+05    1.35917114e+04    -1.92766561e+03
    1.82660000e+02    8.85027064e-03    1.04984338e-07    9.27888794e+02    2.33370770e+06    -4.93504198e+05    1.35543006e+04    -1.92370169e+03
    1.83160000e+02    9.69880648e-03    1.14735835e-07    9.27840815e+02    2.33463295e+06    -4.92779420e+05    1.35171049e+04    -1.91973921e+03
    1.83660000e+02    1.06234684e-02    1.25332350e-07    9.27792654e+02    2.33555821e+06    -4.92052918e+05    1.34801226e+04    -1.91577813e+03
    1.84160000e+02    1.16306069e-02    1.36841715e-07    9.27744311e+02    2.33648347e+06    -4.91324693e+05    1.34433518e+04    -1.91181845e+03
    1.84660000e+02    1.27270607e-02    1.49336762e-07    9.27695787e+02    2.33740875e+06    -4.90594744e+05    1.34067910e+04    -1.90786015e+03
    1.85160000e+02    1.39201920e-02    1.62895658e-07    9.27647083e+02    2.33833403e+06    -4.89863070e+05    1.33704384e+04    -1.90390323e+03
    1.85660000e+02    1.52179222e-02    1.77602255e-07    9.27598199e+02    2.33925932e+06    -4.89129669e+05    1.33342922e+04    -1.89994767e+03
    1.86160000e+02    1.66287710e-02    1.93546470e-07    9.27549135e+02    2.34018461e+06    -4.88394541e+05    1.32983509e+04    -1.89599345e+03
    1.86660000e+02    1.81618978e-02    2.10824680e-07    9.27499893e+02    2.34110992e+06    -4.87657684e+05    1.32626128e+04    -1.89204057e+03
    1.87160000e+02    1.98271452e-02    2.29540141e-07    9.27450472e+02    2.34203523e+06    -4.86919099e+05    1.32270762e+04    -1.88808901e+03
    1.87660000e+02    2.16350855e-02    2.49803437e-07    9.27400873e+02    2.34296055e+06    -4.86178784e+05    1.31917395e+04    -1.88413877e+03
    1.88160000e+02    2.35970701e-02    2.71732946e-07    9.27351096e+02    2.34388587e+06    -4.85436737e+05    1.31566012e+04    -1.88018982e+03
    1.88660000e+02    2.57252819e-02    2.95455340e-07    9.27301143e+02    2.34481121e+06    -4.84692959e+05    1.31216597e+04    -1.87624217e+03
    1.89160000e+02    2.80327904e-02    3.21106109e-07    9.27251014e+02    2.34573655e+06    -4.83947448e+05    1.30869133e+04    -1.87229578e+03
    1.89660000e+02    3.05336107e-02    3.48830119e-07    9.27200708e+02    2.34666190e+06    -4.83200203e+05    1.30523606e+04    -1.86835066e+03
    1.90160000e+02    3.32427659e-02    3.78782195e-07    9.27150227e+02    2.34758726e+06    -4.82451223e+05    1.30180000e+04    -1.86440680e+03
    1.90660000e+02    3.61763528e-02    4.11127740e-07    9.27099571e+02    2.34851263e+06    -4.81700508e+05    1.29838300e+04    -1.86046417e+03
    1.91160000e+02    3.93516116e-02    4.46043390e-07    9.27048741e+02    2.34943801e+06    -4.80948056e+05    1.29498492e+04    -1.85652277e+03
    1.91660000e+02    4.27870002e-02    4.83717700e-07    9.26997737e+02    2.35036339e+06    -4.80193866e+05    1.29160559e+04    -1.85258259e+03
    1.92160000e+02    4.65022719e-02    5.24351873e-07    9.26946560e+02    2.35128878e+06    -4.79437938e+05    1.28824488e+04    -1.84864362e+03
    1.92660000e+02    5.05185581e-02    5.68160521e-07    9.26895210e+02    2.35221418e+06    -4.78680271e+05    1.28490264e+04    -1.84470585e+03
    1.93160000e+02    5.48584560e-02    6.15372475e-07    9.26843687e+02    2.35313959e+06    -4.77920863e+05    1.28157872e+04    -1.84076926e+03
